GST ID,Start Time,Observed Time,KP Index,Source,Linked Events Activity ID
2015-09-09T03:00:00-GST-001,2015-09-09T03:00Z,2015-09-09T06:00Z,6,NOAA,2015-09-04T14:12:00-CME-001;2015-09-04T19:24:00-CME-001;
2015-09-09T03:00:00-GST-001,2015-09-09T03:00Z,2015-09-09T09:00Z,6,NOAA,2015-09-04T14:12:00-CME-001;2015-09-04T19:24:00-CME-001;
2015-09-09T03:00:00-GST-001,2015-09-09T03:00Z,2015-09-09T15:00Z,6,NOAA,2015-09-04T14:12:00-CME-001;2015-09-04T19:24:00-CME-001;
2015-09-09T03:00:00-GST-001,2015-09-09T03:00Z,2015-09-09T21:00Z,6,NOAA,2015-09-04T14:12:00-CME-001;2015-09-04T19:24:00-CME-001;
2015-09-09T03:00:00-GST-001,2015-09-09T03:00Z,2015-09-10T00:00Z,6,NOAA,2015-09-04T14:12:00-CME-001;2015-09-04T19:24:00-CME-001;
2015-09-11T06:00:00-GST-001,2015-09-11T06:00Z,2015-09-11T09:00Z,7,NOAA,2015-09-06T23:30:00-CME-001;2015-09-07T10:36:00-CME-001;2015-09-11T06:43:00-HSS-001;
2015-09-11T06:00:00-GST-001,2015-09-11T06:00Z,2015-09-11T12:00Z,6,NOAA,2015-09-06T23:30:00-CME-001;2015-09-07T10:36:00-CME-001;2015-09-11T06:43:00-HSS-001;
2015-09-11T06:00:00-GST-001,2015-09-11T06:00Z,2015-09-11T18:00Z,6,NOAA,2015-09-06T23:30:00-CME-001;2015-09-07T10:36:00-CME-001;2015-09-11T06:43:00-HSS-001;
2015-09-20T06:00:00-GST-001,2015-09-20T06:00Z,2015-09-20T09:00Z,7,NOAA,2015-09-18T05:00:00-CME-001;2015-09-20T05:33:00-IPS-001;
2015-09-20T09:00:00-GST-001,2015-09-20T09:00Z,2015-09-20T12:00Z,5,NOAA,2015-09-18T05:00:00-CME-001;2015-09-20T05:33:00-IPS-001;
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-07T06:00Z,6,NOAA,2015-10-07T13:00:00-HSS-001
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-07T09:00Z,6,NOAA,2015-10-07T13:00:00-HSS-001
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-07T18:00Z,6,NOAA,2015-10-07T13:00:00-HSS-001
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-07T21:00Z,7,NOAA,2015-10-07T13:00:00-HSS-001
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-07T21:00Z,7,NOAA,2015-10-07T13:00:00-HSS-001
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-08T00:00Z,6,NOAA,2015-10-07T13:00:00-HSS-001
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-08T06:00Z,6,NOAA,2015-10-07T13:00:00-HSS-001
2015-10-07T18:00:00-GST-001,2015-10-07T18:00Z,2015-10-08T09:00Z,6,NOAA,2015-10-07T13:00:00-HSS-001
2015-11-07T03:00:00-GST-001,2015-11-07T03:00Z,2015-11-07T06:00Z,6,NOAA,2015-11-04T14:24:00-CME-001;2015-11-06T17:34:00-IPS-001;
2015-11-07T03:00:00-GST-001,2015-11-07T03:00Z,2015-11-07T09:00Z,6,NOAA,2015-11-04T14:24:00-CME-001;2015-11-06T17:34:00-IPS-001;
2015-11-10T12:00:00-GST-001,2015-11-10T12:00Z,2015-11-10T15:00Z,6,NOAA,2015-11-09T19:00:00-HSS-001
2015-12-20T03:00:00-GST-001,2015-12-20T03:00Z,2015-12-20T06:00Z,6,NOAA,2015-12-16T09:36:00-CME-001;2015-12-16T14:48:00-CME-001;2015-12-19T15:27:00-IPS-001;2015-12-20T00:04:00-MPC-001;
2015-12-20T03:00:00-GST-001,2015-12-20T03:00Z,2015-12-20T18:00Z,6,NOAA,2015-12-16T09:36:00-CME-001;2015-12-16T14:48:00-CME-001;2015-12-19T15:27:00-IPS-001;2015-12-20T00:04:00-MPC-001;
2015-12-20T03:00:00-GST-001,2015-12-20T03:00Z,2015-12-20T21:00Z,6,NOAA,2015-12-16T09:36:00-CME-001;2015-12-16T14:48:00-CME-001;2015-12-19T15:27:00-IPS-001;2015-12-20T00:04:00-MPC-001;
2015-12-20T03:00:00-GST-001,2015-12-20T03:00Z,2015-12-21T00:00Z,6,NOAA,2015-12-16T09:36:00-CME-001;2015-12-16T14:48:00-CME-001;2015-12-19T15:27:00-IPS-001;2015-12-20T00:04:00-MPC-001;
2015-12-20T03:00:00-GST-001,2015-12-20T03:00Z,2015-12-21T03:00Z,6,NOAA,2015-12-16T09:36:00-CME-001;2015-12-16T14:48:00-CME-001;2015-12-19T15:27:00-IPS-001;2015-12-20T00:04:00-MPC-001;
2015-12-20T03:00:00-GST-001,2015-12-20T03:00Z,2015-12-21T06:00Z,6,NOAA,2015-12-16T09:36:00-CME-001;2015-12-16T14:48:00-CME-001;2015-12-19T15:27:00-IPS-001;2015-12-20T00:04:00-MPC-001;
2015-12-31T13:30:00-GST-001,2015-12-31T13:30Z,2015-12-31T12:00Z,6,NOAA,2015-12-28T12:39:00-CME-001;2015-12-31T23:52:00-MPC-001;
2015-12-31T13:30:00-GST-001,2015-12-31T13:30Z,2015-12-31T15:00Z,6,NOAA,2015-12-28T12:39:00-CME-001;2015-12-31T23:52:00-MPC-001;
2015-12-31T13:30:00-GST-001,2015-12-31T13:30Z,2016-01-01T00:00Z,6,NOAA,2015-12-28T12:39:00-CME-001;2015-12-31T23:52:00-MPC-001;
2015-12-31T13:30:00-GST-001,2015-12-31T13:30Z,2016-01-01T03:00Z,6,NOAA,2015-12-28T12:39:00-CME-001;2015-12-31T23:52:00-MPC-001;
2016-01-21T03:00:00-GST-001,2016-01-21T03:00Z,2016-01-21T06:00Z,6,NOAA,2016-01-15T00:00:00-CME-001;2016-01-21T10:00:00-HSS-001;
2016-02-16T18:00:00-GST-001,2016-02-16T18:00Z,2016-02-16T21:00Z,6,NOAA,2016-02-16T01:55:00-HSS-001
2016-02-16T18:00:00-GST-001,2016-02-16T18:00Z,2016-02-16T21:00Z,6,NOAA,2016-02-16T01:55:00-HSS-001
2016-02-17T21:00:00-GST-001,2016-02-17T21:00Z,2016-02-18T00:00Z,6,NOAA,2016-02-16T01:55:00-HSS-001
none,2016-02-17T21:00Z,2016-02-19T00:00Z,6,NOAA,None
2016-03-06T18:00:00-GST-001,2016-03-06T18:00Z,2016-03-06T21:00Z,6,NOAA,2016-03-06T04:30:00-IPS-001;2016-03-06T09:00:00-HSS-001;2016-03-06T16:32:00-MPC-001;
2016-03-06T18:00:00-GST-001,2016-03-06T18:00Z,2016-03-06T21:00Z,6,NOAA,2016-03-06T04:30:00-IPS-001;2016-03-06T09:00:00-HSS-001;2016-03-06T16:32:00-MPC-001;
2016-03-06T18:00:00-GST-001,2016-03-06T18:00Z,2016-03-07T00:00Z,7,NOAA,2016-03-06T04:30:00-IPS-001;2016-03-06T09:00:00-HSS-001;2016-03-06T16:32:00-MPC-001;
2016-03-11T12:00:00-GST-001,2016-03-11T12:00Z,2016-03-11T15:00Z,6,NOAA,2016-03-11T04:21:00-IPS-001;2016-03-11T13:00:00-MPC-001;
2016-03-11T12:00:00-GST-001,2016-03-11T12:00Z,2016-03-11T15:00Z,6,NOAA,2016-03-11T04:21:00-IPS-001;2016-03-11T13:00:00-MPC-001;
2016-04-02T21:00:00-GST-001,2016-04-02T21:00Z,2016-04-03T00:00Z,6,NOAA,None
2016-04-02T22:30:00-GST-001,2016-04-02T22:30Z,2016-04-03T00:00Z,6,NOAA,2016-03-31T01:25:00-CME-001
2016-05-02T03:00:00-GST-001,2016-05-02T03:00Z,2016-05-02T06:00Z,6,NOAA,2016-05-01T13:30:00-HSS-001
2016-05-08T00:00:00-GST-001,2016-05-08T00:00Z,2016-05-08T03:00Z,6,NOAA,2016-05-08T01:21:00-HSS-001
2016-05-08T00:00:00-GST-001,2016-05-08T00:00Z,2016-05-08T03:00Z,6,NOAA,2016-05-08T01:21:00-HSS-001
2016-05-08T00:00:00-GST-001,2016-05-08T00:00Z,2016-05-08T06:00Z,7,NOAA,2016-05-08T01:21:00-HSS-001
2016-05-08T00:00:00-GST-001,2016-05-08T00:00Z,2016-05-08T06:00Z,7,NOAA,2016-05-08T01:21:00-HSS-001
2016-05-08T00:00:00-GST-001,2016-05-08T00:00Z,2016-05-08T09:00Z,6,NOAA,2016-05-08T01:21:00-HSS-001
2016-05-08T00:00:00-GST-001,2016-05-08T00:00Z,2016-05-09T00:00Z,6,NOAA,2016-05-08T01:21:00-HSS-001
